playerId,name,team,position,season,situation,games_played,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,icetime,I_F_xGoals,I_F_highDangerShots,I_F_highDangerGoals,onIce_xGoalsPercentage,gameScore,I_F_assists
8477426,Nicholas Paul,TBL,L,2021,all,23,5.0,3.0,1.0,9.0,44.0,14.0,56.0,421:00,6.27,9.0,2.0,0.45,8.13,4
8473563,Nicklas Backstrom,WSH,C,2021,all,6,2.0,1.0,3.0,6.0,16.0,3.0,7.0,107:57,2.57,3.0,1.0,0.67,3.73,4
8480950,Ilya Lyubushkin,TOR,D,2021,all,7,0.0,1.0,0.0,1.0,3.0,2.0,28.0,97:22,0.07,0.0,0.0,0.45,-0.72,1
8477845,Trevor van Riemsdyk,WSH,D,2021,all,6,1.0,0.0,1.0,2.0,4.0,3.0,8.0,91:52,0.12,0.0,0.0,0.51,2.15,1
8480185,Eetu Luostarinen,FLA,C,2021,all,10,1.0,0.0,1.0,2.0,9.0,5.0,17.0,131:33,0.64,1.0,0.0,0.34,2.67,1
8480434,Sean Durzi,LAK,D,2021,all,7,1.0,1.0,1.0,3.0,16.0,11.0,10.0,150:30,0.97,0.0,0.0,0.58,3.05,2
8476326,Josh Archibald,EDM,R,2021,all,13,0.0,1.0,0.0,1.0,9.0,4.0,51.0,122:55,1.58,1.0,0.0,0.29,-1.22,1
8476960,Andreas Athanasiou,LAK,C,2021,all,6,1.0,0.0,0.0,1.0,8.0,8.0,3.0,86:08,1.64,2.0,0.0,0.38,-0.59,0
8479318,Auston Matthews,TOR,C,2021,all,7,4.0,2.0,3.0,9.0,29.0,17.0,32.0,155:59,3.79,3.0,1.0,0.67,10.85,5
8482093,Seth Jarvis,CAR,C,2021,all,14,3.0,3.0,2.0,8.0,32.0,21.0,38.0,210:22,4.45,4.0,1.0,0.66,10.01,5
8474189,Lars Eller,WSH,C,2021,all,6,1.0,2.0,0.0,3.0,15.0,4.0,23.0,94:47,1.45,3.0,1.0,0.49,2.64,2
8477933,Sam Reinhart,FLA,C,2021,all,10,3.0,1.0,0.0,4.0,30.0,7.0,11.0,194:09,3.56,5.0,2.0,0.45,6.68,1
8476624,Barclay Goodrow,NYR,C,2021,all,9,0.0,0.0,1.0,1.0,6.0,1.0,17.0,135:01,0.52,0.0,0.0,0.27,-1.98,1
8470621,Corey Perry,TBL,R,2021,all,23,6.0,4.0,1.0,11.0,43.0,9.0,22.0,292:04,7.1,11.0,3.0,0.68,10.08,5
