playerId,name,team,season,situation,games_played,icetime
8478048,Igor Shesterkin,NYR,2023,all,16,999:51
8479979,Jake Oettinger,DAL,2023,all,19,1206:47
8477967,Thatcher Demko,VAN,2023,all,1,60:00
8476999,Linus Ullmark,BOS,2023,all,2,77:01
8478009,Ilya Sorokin,NYI,2023,all,1,27:14
8480280,Jeremy Swayman,BOS,2023,all,12,697:31
8476945,Connor Hellebuyck,WPG,2023,all,5,275:17
8476316,Laurent Brossoit,WPG,2023,all,1,18:00
8481668,Arturs Silovs,VAN,2023,all,10,598:18
8479496,David Rittich,LAK,2023,all,2,117:09
8475883,Frederik Andersen,CAR,2023,all,10,641:54
8479292,Charlie Lindgren,WSH,2023,all,4,234:31
8476932,Anthony Stolarz,FLA,2023,all,1,34:50
8480382,Alexandar Georgiev,COL,2023,all,11,694:13
8476883,Andrei Vasilevskiy,TBL,2023,all,5,298:06
8481611,Pyotr Kochetkov,CAR,2023,all,1,60:54
8479193,Casey DeSmith,VAN,2023,all,2,118:58
8475717,Calvin Pickard,EDM,2023,all,3,135:55
8473575,Semyon Varlamov,NYI,2023,all,5,289:09
8477424,Juuse Saros,NSH,2023,all,6,357:18
8480313,Logan Thompson,VGK,2023,all,4,255:00
8478492,Ilya Samsonov,TOR,2023,all,5,279:07
8478499,Adin Hill,VGK,2023,all,3,176:17
8475683,Sergei Bobrovsky,FLA,2023,all,24,1419:32
8475660,Cam Talbot,LAK,2023,all,3,181:00
8479973,Stuart Skinner,EDM,2023,all,23,1373:20
8479361,Joseph Woll,TOR,2023,all,3,139:49
