team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
NYI,2023,other,5,1.0,4.0,2.58,2.75,0.48,7.0,6.0,5.0,4.0,0.0,0.0
NYI,2023,all,5,12.0,19.0,14.28,18.31,0.44,136.0,169.0,18.0,18.0,22.0,17.0
NYI,2023,5on5,5,8.0,10.0,9.7,11.64,0.45,110.0,144.0,10.0,9.0,19.0,16.0
NYI,2023,4on5,5,0.0,5.0,0.16,3.84,0.04,2.0,16.0,0.0,5.0,1.0,1.0
NYI,2023,5on4,5,3.0,0.0,1.85,0.09,0.95,17.0,3.0,3.0,0.0,2.0,0.0
NYR,2023,other,16,4.0,6.0,4.64,6.5,0.42,17.0,25.0,7.0,10.0,0.0,2.0
NYR,2023,all,16,47.0,42.0,47.29,53.93,0.47,412.0,528.0,56.0,59.0,66.0,61.0
NYR,2023,5on5,16,26.0,27.0,27.71,35.7,0.44,307.0,413.0,30.0,35.0,61.0,53.0
NYR,2023,4on5,16,6.0,9.0,1.99,10.56,0.16,17.0,70.0,2.0,13.0,1.0,4.0
NYR,2023,5on4,16,11.0,0.0,12.95,1.18,0.92,71.0,20.0,17.0,1.0,4.0,2.0
FLA,2023,other,24,11.0,13.0,10.59,10.21,0.51,36.0,44.0,14.0,14.0,4.0,0.0
FLA,2023,all,24,73.0,62.0,78.44,68.36,0.53,743.0,606.0,82.0,79.0,89.0,90.0
FLA,2023,5on5,24,45.0,38.0,47.88,42.7,0.53,558.0,451.0,45.0,45.0,75.0,83.0
FLA,2023,4on5,24,2.0,6.0,2.13,13.02,0.14,23.0,86.0,2.0,16.0,3.0,7.0
FLA,2023,5on4,24,15.0,5.0,17.84,2.44,0.88,126.0,25.0,21.0,4.0,7.0,0.0
BOS,2023,other,13,5.0,1.0,5.31,7.71,0.41,18.0,19.0,7.0,13.0,2.0,1.0
BOS,2023,all,13,31.0,31.0,36.38,43.93,0.45,323.0,418.0,42.0,49.0,49.0,42.0
BOS,2023,5on5,13,20.0,22.0,26.04,24.18,0.52,255.0,309.0,31.0,20.0,44.0,38.0
BOS,2023,4on5,13,0.0,7.0,0.91,11.05,0.08,12.0,76.0,0.0,15.0,0.0,2.0
BOS,2023,5on4,13,6.0,1.0,4.13,0.99,0.81,38.0,14.0,4.0,1.0,3.0,1.0
EDM,2023,other,25,11.0,9.0,12.03,7.42,0.62,40.0,32.0,19.0,9.0,1.0,2.0
EDM,2023,all,25,86.0,65.0,86.62,68.78,0.56,711.0,627.0,109.0,81.0,84.0,94.0
EDM,2023,5on5,25,53.0,52.0,47.01,49.85,0.49,527.0,499.0,48.0,59.0,75.0,84.0
EDM,2023,4on5,25,3.0,4.0,1.8,10.65,0.14,21.0,85.0,3.0,13.0,2.0,6.0
EDM,2023,5on4,25,19.0,0.0,25.78,0.86,0.97,123.0,11.0,39.0,0.0,6.0,2.0
WPG,2023,other,5,0.0,5.0,0.73,4.23,0.15,8.0,7.0,0.0,7.0,0.0,0.0
WPG,2023,all,5,15.0,28.0,13.15,21.98,0.37,141.0,186.0,15.0,27.0,21.0,19.0
WPG,2023,5on5,5,12.0,17.0,10.75,14.24,0.43,116.0,152.0,14.0,15.0,19.0,18.0
WPG,2023,4on5,5,0.0,6.0,0.06,3.5,0.02,1.0,26.0,0.0,5.0,1.0,1.0
WPG,2023,5on4,5,3.0,0.0,1.61,0.02,0.99,16.0,1.0,1.0,0.0,1.0,0.0
TOR,2023,other,7,0.0,3.0,6.52,3.62,0.64,12.0,13.0,12.0,5.0,1.0,2.0
TOR,2023,all,7,12.0,18.0,24.15,22.29,0.52,215.0,193.0,29.0,26.0,24.0,23.0
TOR,2023,5on5,7,11.0,10.0,13.44,15.2,0.47,167.0,152.0,12.0,19.0,23.0,21.0
TOR,2023,4on5,7,0.0,5.0,0.27,3.04,0.08,5.0,24.0,0.0,2.0,0.0,0.0
TOR,2023,5on4,7,1.0,0.0,3.92,0.44,0.9,31.0,4.0,5.0,0.0,0.0,0.0
NSH,2023,other,6,3.0,3.0,2.67,2.2,0.55,12.0,10.0,4.0,3.0,1.0,1.0
NSH,2023,all,6,12.0,13.0,15.24,15.91,0.49,150.0,121.0,17.0,17.0,16.0,25.0
NSH,2023,5on5,6,7.0,8.0,9.79,11.75,0.45,118.0,99.0,10.0,12.0,14.0,22.0
NSH,2023,4on5,6,0.0,2.0,0.34,1.92,0.15,3.0,10.0,1.0,2.0,0.0,1.0
NSH,2023,5on4,6,2.0,0.0,2.43,0.04,0.98,17.0,2.0,2.0,0.0,1.0,1.0
DAL,2023,other,19,8.0,5.0,7.49,6.38,0.54,24.0,32.0,13.0,14.0,0.0,1.0
DAL,2023,all,19,52.0,48.0,62.53,54.79,0.53,531.0,520.0,71.0,62.0,43.0,51.0
DAL,2023,5on5,19,34.0,29.0,45.0,38.53,0.54,417.0,433.0,46.0,33.0,43.0,49.0
DAL,2023,4on5,19,2.0,12.0,1.86,9.31,0.17,16.0,41.0,4.0,15.0,0.0,0.0
DAL,2023,5on4,19,8.0,2.0,8.17,0.56,0.94,74.0,14.0,8.0,0.0,0.0,1.0
CAR,2023,other,11,8.0,2.0,7.02,3.52,0.67,25.0,13.0,10.0,7.0,1.0,0.0
CAR,2023,all,11,38.0,32.0,41.38,32.88,0.56,393.0,293.0,47.0,41.0,43.0,48.0
CAR,2023,5on5,11,23.0,20.0,26.05,22.65,0.53,313.0,232.0,26.0,26.0,38.0,42.0
CAR,2023,4on5,11,0.0,8.0,0.45,5.92,0.07,12.0,38.0,0.0,8.0,0.0,4.0
CAR,2023,5on4,11,7.0,2.0,7.86,0.79,0.91,43.0,10.0,11.0,0.0,4.0,2.0
LAK,2023,other,5,1.0,3.0,0.18,3.06,0.06,3.0,5.0,0.0,5.0,0.0,0.0
LAK,2023,all,5,13.0,22.0,13.2,21.91,0.38,145.0,155.0,18.0,30.0,26.0,19.0
LAK,2023,5on5,5,12.0,12.0,10.84,9.79,0.53,123.0,107.0,15.0,11.0,23.0,16.0
LAK,2023,4on5,5,0.0,7.0,0.13,8.78,0.01,3.0,40.0,0.0,13.0,1.0,2.0
LAK,2023,5on4,5,0.0,0.0,2.05,0.28,0.88,16.0,3.0,3.0,1.0,2.0,1.0
WSH,2023,other,4,0.0,1.0,0.78,2.4,0.25,2.0,2.0,2.0,4.0,0.0,0.0
WSH,2023,all,4,7.0,15.0,11.39,14.53,0.44,101.0,104.0,14.0,20.0,18.0,18.0
WSH,2023,5on5,4,5.0,7.0,6.7,5.52,0.55,80.0,73.0,7.0,6.0,17.0,17.0
WSH,2023,4on5,4,0.0,5.0,0.41,5.92,0.07,5.0,24.0,1.0,9.0,1.0,1.0
WSH,2023,5on4,4,2.0,2.0,3.5,0.69,0.84,14.0,5.0,4.0,1.0,0.0,0.0
VAN,2023,other,13,6.0,5.0,3.8,4.43,0.46,20.0,23.0,5.0,6.0,1.0,1.0
VAN,2023,all,13,33.0,36.0,35.47,36.25,0.49,270.0,353.0,44.0,43.0,51.0,41.0
VAN,2023,5on5,13,22.0,23.0,24.78,22.74,0.52,210.0,271.0,28.0,24.0,45.0,36.0
VAN,2023,4on5,13,0.0,8.0,0.46,8.38,0.05,8.0,52.0,0.0,12.0,2.0,3.0
VAN,2023,5on4,13,5.0,0.0,6.43,0.71,0.9,32.0,7.0,11.0,1.0,3.0,1.0
TBL,2023,other,5,4.0,5.0,2.18,3.66,0.37,15.0,12.0,4.0,6.0,0.0,1.0
TBL,2023,all,5,14.0,20.0,15.39,20.16,0.43,135.0,160.0,20.0,29.0,15.0,23.0
TBL,2023,5on5,5,7.0,11.0,11.08,10.4,0.52,99.0,116.0,13.0,14.0,14.0,19.0
TBL,2023,4on5,5,1.0,3.0,0.38,5.38,0.07,5.0,25.0,1.0,8.0,0.0,2.0
TBL,2023,5on4,5,2.0,1.0,1.75,0.73,0.7,16.0,7.0,2.0,1.0,1.0,1.0
COL,2023,other,11,6.0,5.0,5.51,5.13,0.52,15.0,19.0,9.0,8.0,0.0,0.0
COL,2023,all,11,43.0,37.0,40.19,34.53,0.54,354.0,316.0,45.0,41.0,40.0,38.0
COL,2023,5on5,11,26.0,23.0,28.12,23.36,0.55,297.0,244.0,27.0,26.0,38.0,36.0
COL,2023,4on5,11,0.0,7.0,0.22,4.72,0.04,4.0,44.0,0.0,4.0,1.0,1.0
COL,2023,5on4,11,11.0,2.0,6.35,1.32,0.83,38.0,9.0,9.0,3.0,1.0,1.0
VGK,2023,other,7,3.0,1.0,2.93,1.77,0.62,15.0,7.0,7.0,3.0,0.0,0.0
VGK,2023,all,7,16.0,16.0,17.61,24.16,0.42,189.0,200.0,21.0,26.0,17.0,15.0
VGK,2023,5on5,7,9.0,11.0,11.93,18.55,0.39,158.0,160.0,10.0,18.0,17.0,15.0
VGK,2023,4on5,7,1.0,4.0,0.13,3.29,0.04,5.0,26.0,0.0,4.0,0.0,0.0
VGK,2023,5on4,7,3.0,0.0,2.62,0.55,0.83,11.0,7.0,4.0,1.0,0.0,0.0
