team,season,situation,games_played
OTT,2024,5on5,6
FLA,2024,5on5,3
EDM,2024,5on5,16
LAK,2024,5on5,6
COL,2024,5on5,2
WSH,2024,5on5,10
NJD,2024,5on5,5
VGK,2024,5on5,3
VGK,2024,5on5,9
COL,2024,5on5,2
DAL,2024,5on5,14
OTT,2024,5on5,4
EDM,2024,5on5,11
FLA,2024,5on5,22
CAR,2024,5on5,15
WPG,2024,5on5,2
EDM,2024,5on5,7
FLA,2024,5on5,23
EDM,2024,5on5,22
OTT,2024,5on5,5
STL,2024,5on5,7
CAR,2024,5on5,4
FLA,2024,5on5,15
EDM,2024,5on5,9
EDM,2024,5on5,10
MIN,2024,5on5,6
WSH,2024,5on5,3
MTL,2024,5on5,2
WSH,2024,5on5,7
CAR,2024,5on5,6
TOR,2024,5on5,13
DAL,2024,5on5,14
WSH,2024,5on5,5
CAR,2024,5on5,12
CAR,2024,5on5,5
OTT,2024,5on5,3
OTT,2024,5on5,6
FLA,2024,5on5,17
EDM,2024,5on5,8
STL,2024,5on5,1
EDM,2024,5on5,6
DAL,2024,5on5,8
OTT,2024,5on5,5
EDM,2024,5on5,14
CAR,2024,5on5,10
CAR,2024,5on5,8
VGK,2024,5on5,4
WSH,2024,5on5,5
CAR,2024,5on5,12
WPG,2024,5on5,9
DAL,2024,5on5,6
CAR,2024,5on5,4
DAL,2024,5on5,8
TOR,2024,5on5,9
WPG,2024,5on5,9
TOR,2024,5on5,3
MIN,2024,5on5,2
DAL,2024,5on5,15
EDM,2024,5on5,4
TBL,2024,5on5,4
MTL,2024,5on5,3
MIN,2024,5on5,6
WPG,2024,5on5,3
MIN,2024,5on5,4
EDM,2024,5on5,21
EDM,2024,5on5,19
DAL,2024,5on5,18
FLA,2024,5on5,5
WPG,2024,5on5,10
COL,2024,5on5,5
WPG,2024,5on5,9
COL,2024,5on5,3
MTL,2024,5on5,5
EDM,2024,5on5,8
FLA,2024,5on5,3
EDM,2024,5on5,18
TOR,2024,5on5,13
NJD,2024,5on5,3
STL,2024,5on5,5
VGK,2024,5on5,11
CAR,2024,5on5,4
FLA,2024,5on5,4
CAR,2024,5on5,11
WPG,2024,5on5,13
DAL,2024,5on5,5
VGK,2024,5on5,11
VGK,2024,5on5,6
TOR,2024,5on5,13
TBL,2024,5on5,4
VGK,2024,5on5,8
EDM,2024,5on5,21
COL,2024,5on5,7
WPG,2024,5on5,11
DAL,2024,5on5,9
WPG,2024,5on5,6
EDM,2024,5on5,8
MTL,2024,5on5,5
VGK,2024,5on5,4
DAL,2024,5on5,7
EDM,2024,5on5,4
WPG,2024,5on5,8
DAL,2024,5on5,7
FLA,2024,5on5,3
EDM,2024,5on5,10
TOR,2024,5on5,12
STL,2024,5on5,7
