team,season,situation,games_played
DAL,2022,5on5,82
MTL,2022,5on5,25
STL,2022,5on5,41
CAR,2022,5on5,11
CBJ,2022,5on5,3
LAK,2022,5on5,76
LAK,2022,5on5,29
SJS,2022,5on5,9
MTL,2022,5on5,2
COL,2022,5on5,25
ANA,2022,5on5,14
VGK,2022,5on5,4
CGY,2022,5on5,7
CBJ,2022,5on5,13
EDM,2022,5on5,6
SJS,2022,5on5,6
CBJ,2022,5on5,15
STL,2022,5on5,1
CAR,2022,5on5,6
PIT,2022,5on5,8
CHI,2022,5on5,2
FLA,2022,5on5,10
OTT,2022,5on5,33
MTL,2022,5on5,1
MTL,2022,5on5,3
CBJ,2022,5on5,5
STL,2022,5on5,4
PIT,2022,5on5,2
DET,2022,5on5,17
SJS,2022,5on5,2
TOR,2022,5on5,2
WPG,2022,5on5,73
ARI,2022,5on5,9
WSH,2022,5on5,10
VAN,2022,5on5,14
OTT,2022,5on5,10
CBJ,2022,5on5,6
NYR,2022,5on5,23
ARI,2022,5on5,22
WPG,2022,5on5,1
EDM,2022,5on5,42
BOS,2022,5on5,29
MTL,2022,5on5,4
ANA,2022,5on5,5
ANA,2022,5on5,7
VAN,2022,5on5,3
EDM,2022,5on5,23
ARI,2022,5on5,34
PHI,2022,5on5,6
VAN,2022,5on5,16
DET,2022,5on5,47
PIT,2022,5on5,21
CGY,2022,5on5,15
NJD,2022,5on5,2
CHI,2022,5on5,7
WSH,2022,5on5,6
DET,2022,5on5,3
ARI,2022,5on5,16
DET,2022,5on5,11
STL,2022,5on5,10
CAR,2022,5on5,3
NSH,2022,5on5,6
CAR,2022,5on5,3
WSH,2022,5on5,12
FLA,2022,5on5,8
PHI,2022,5on5,20
VGK,2022,5on5,3
NYI,2022,5on5,6
LAK,2022,5on5,2
NYI,2022,5on5,39
DET,2022,5on5,5
CBJ,2022,5on5,4
DET,2022,5on5,7
MIN,2022,5on5,17
MTL,2022,5on5,6
DET,2022,5on5,23
PIT,2022,5on5,23
SEA,2022,5on5,3
SJS,2022,5on5,6
PHI,2022,5on5,30
NYI,2022,5on5,20
TBL,2022,5on5,59
CBJ,2022,5on5,29
SJS,2022,5on5,8
NJD,2022,5on5,9
TBL,2022,5on5,30
FLA,2022,5on5,15
PIT,2022,5on5,27
CGY,2022,5on5,14
CBJ,2022,5on5,17
VAN,2022,5on5,23
WPG,2022,5on5,5
ARI,2022,5on5,39
EDM,2022,5on5,11
DET,2022,5on5,57
SJS,2022,5on5,43
CGY,2022,5on5,35
PIT,2022,5on5,13
CGY,2022,5on5,20
ANA,2022,5on5,5
OTT,2022,5on5,4
MIN,2022,5on5,8
CAR,2022,5on5,5
PHI,2022,5on5,44
COL,2022,5on5,15
DET,2022,5on5,22
FLA,2022,5on5,16
CBJ,2022,5on5,3
NYI,2022,5on5,56
NSH,2022,5on5,16
ARI,2022,5on5,8
VAN,2022,5on5,15
COL,2022,5on5,22
CAR,2022,5on5,6
CBJ,2022,5on5,19
NYR,2022,5on5,12
CBJ,2022,5on5,13
NJD,2022,5on5,21
WPG,2022,5on5,8
CGY,2022,5on5,8
CBJ,2022,5on5,2
COL,2022,5on5,7
DET,2022,5on5,5
MIN,2022,5on5,2
MIN,2022,5on5,5
CBJ,2022,5on5,6
WSH,2022,5on5,30
ARI,2022,5on5,3
EDM,2022,5on5,8
WSH,2022,5on5,4
MIN,2022,5on5,9
CHI,2022,5on5,35
VGK,2022,5on5,17
SEA,2022,5on5,9
VAN,2022,5on5,5
WSH,2022,5on5,3
DAL,2022,5on5,16
NYR,2022,5on5,15
EDM,2022,5on5,13
ARI,2022,5on5,26
NSH,2022,5on5,2
NJD,2022,5on5,2
ARI,2022,5on5,29
PHI,2022,5on5,5
NYR,2022,5on5,9
BOS,2022,5on5,6
SEA,2022,5on5,30
TBL,2022,5on5,23
STL,2022,5on5,2
SJS,2022,5on5,9
TOR,2022,5on5,7
COL,2022,5on5,12
TBL,2022,5on5,9
MIN,2022,5on5,15
TBL,2022,5on5,11
CBJ,2022,5on5,28
CHI,2022,5on5,44
DET,2022,5on5,2
COL,2022,5on5,34
ANA,2022,5on5,16
FLA,2022,5on5,45
OTT,2022,5on5,18
PHI,2022,5on5,8
COL,2022,5on5,26
WSH,2022,5on5,4
PHI,2022,5on5,3
TBL,2022,5on5,8
NSH,2022,5on5,7
PIT,2022,5on5,21
BUF,2022,5on5,48
FLA,2022,5on5,5
SJS,2022,5on5,7
ARI,2022,5on5,7
OTT,2022,5on5,41
PHI,2022,5on5,7
CBJ,2022,5on5,3
NYR,2022,5on5,24
BOS,2022,5on5,62
STL,2022,5on5,8
CAR,2022,5on5,32
FLA,2022,5on5,3
PHI,2022,5on5,34
TOR,2022,5on5,12
BOS,2022,5on5,12
PHI,2022,5on5,8
SJS,2022,5on5,4
COL,2022,5on5,36
DAL,2022,5on5,3
TOR,2022,5on5,22
ANA,2022,5on5,54
WPG,2022,5on5,4
COL,2022,5on5,24
CGY,2022,5on5,17
VGK,2022,5on5,4
SJS,2022,5on5,8
COL,2022,5on5,27
OTT,2022,5on5,5
EDM,2022,5on5,13
OTT,2022,5on5,45
NYI,2022,5on5,5
FLA,2022,5on5,10
MIN,2022,5on5,6
SJS,2022,5on5,16
VAN,2022,5on5,3
VGK,2022,5on5,4
EDM,2022,5on5,10
COL,2022,5on5,11
TOR,2022,5on5,6
PIT,2022,5on5,55
MIN,2022,5on5,5
TBL,2022,5on5,41
CBJ,2022,5on5,14
COL,2022,5on5,11
NJD,2022,5on5,12
NYR,2022,5on5,18
ANA,2022,5on5,15
CGY,2022,5on5,25
SJS,2022,5on5,17
SEA,2022,5on5,18
MIN,2022,5on5,12
WPG,2022,5on5,56
BUF,2022,5on5,8
CBJ,2022,5on5,4
OTT,2022,5on5,11
MTL,2022,5on5,15
PIT,2022,5on5,11
NJD,2022,5on5,15
BUF,2022,5on5,15
TOR,2022,5on5,39
CBJ,2022,5on5,11
NJD,2022,5on5,15
CGY,2022,5on5,35
CBJ,2022,5on5,6
SEA,2022,5on5,18
MTL,2022,5on5,3
WSH,2022,5on5,3
CGY,2022,5on5,25
NSH,2022,5on5,19
SEA,2022,5on5,9
SJS,2022,5on5,24
COL,2022,5on5,22
STL,2022,5on5,6
WPG,2022,5on5,10
PHI,2022,5on5,49
EDM,2022,5on5,4
VAN,2022,5on5,23
WSH,2022,5on5,15
ANA,2022,5on5,4
VAN,2022,5on5,11
COL,2022,5on5,53
DAL,2022,5on5,58
DET,2022,5on5,61
SJS,2022,5on5,26
WSH,2022,5on5,22
ANA,2022,5on5,22
STL,2022,5on5,20
CBJ,2022,5on5,9
NYR,2022,5on5,8
OTT,2022,5on5,5
PIT,2022,5on5,11
CBJ,2022,5on5,3
NJD,2022,5on5,11
EDM,2022,5on5,15
SEA,2022,5on5,2
WSH,2022,5on5,5
CHI,2022,5on5,7
STL,2022,5on5,41
NYR,2022,5on5,70
DET,2022,5on5,9
WSH,2022,5on5,17
CAR,2022,5on5,26
SJS,2022,5on5,67
LAK,2022,5on5,8
COL,2022,5on5,20
CBJ,2022,5on5,4
STL,2022,5on5,3
NYI,2022,5on5,9
OTT,2022,5on5,5
LAK,2022,5on5,5
COL,2022,5on5,3
ANA,2022,5on5,6
VAN,2022,5on5,5
DET,2022,5on5,12
TBL,2022,5on5,68
MTL,2022,5on5,9
MTL,2022,5on5,6
MIN,2022,5on5,9
STL,2022,5on5,6
NJD,2022,5on5,10
OTT,2022,5on5,6
COL,2022,5on5,12
WSH,2022,5on5,5
CGY,2022,5on5,44
VAN,2022,5on5,4
BOS,2022,5on5,14
FLA,2022,5on5,12
NYI,2022,5on5,5
MIN,2022,5on5,2
BOS,2022,5on5,8
MTL,2022,5on5,21
FLA,2022,5on5,12
EDM,2022,5on5,11
VGK,2022,5on5,5
NSH,2022,5on5,52
NJD,2022,5on5,2
OTT,2022,5on5,38
ANA,2022,5on5,19
SEA,2022,5on5,61
CHI,2022,5on5,33
CHI,2022,5on5,4
CHI,2022,5on5,9
CBJ,2022,5on5,19
MIN,2022,5on5,9
VAN,2022,5on5,11
NYR,2022,5on5,3
VGK,2022,5on5,12
VAN,2022,5on5,3
MTL,2022,5on5,28
SEA,2022,5on5,2
CAR,2022,5on5,5
LAK,2022,5on5,12
SJS,2022,5on5,47
CHI,2022,5on5,12
DAL,2022,5on5,18
PHI,2022,5on5,7
STL,2022,5on5,19
EDM,2022,5on5,25
EDM,2022,5on5,12
ANA,2022,5on5,39
WSH,2022,5on5,8
CAR,2022,5on5,1
CBJ,2022,5on5,5
EDM,2022,5on5,58
FLA,2022,5on5,39
NYR,2022,5on5,14
VAN,2022,5on5,4
OTT,2022,5on5,15
NYI,2022,5on5,10
OTT,2022,5on5,34
ARI,2022,5on5,18
SEA,2022,5on5,4
DAL,2022,5on5,50
