team,season,situation,games_played,goalsFor,goalsAgainst,xGoalsFor,xGoalsAgainst,xGoalsPercentage,shotsOnGoalFor,shotsOnGoalAgainst,highDangerShotsFor,highDangerShotsAgainst,penaltiesFor,penaltiesAgainst
CGY,2022,other,82,19,31,30.17,31.4,0.49,131,145,40,44,14,6
CGY,2022,all,82,258,247,278.2,238.84,0.54,2949,2243,293,258,309,297
CGY,2022,5on5,82,182,169,192.77,159.77,0.55,2290,1702,191,163,271,270
CGY,2022,4on5,82,8,41,11.74,41.01,0.22,130,321,12,43,9,9
CGY,2022,5on4,82,49,6,43.51,6.65,0.87,398,75,50,8,15,12
EDM,2022,other,82,34,24,35.52,25.65,0.58,144,142,51,33,10,9
EDM,2022,all,82,325,256,311.16,243.8,0.56,2755,2573,320,238,315,310
EDM,2022,5on5,82,193,169,192.77,163.97,0.54,2092,1962,173,142,278,273
EDM,2022,4on5,82,16,57,10.32,50.38,0.17,94,414,10,59,12,17
EDM,2022,5on4,82,82,6,72.54,3.81,0.95,425,55,86,4,15,11
CHI,2022,other,82,26,32,27.89,33.56,0.45,120,130,35,50,5,7
CHI,2022,all,82,202,299,215.84,284.02,0.43,2210,2758,249,319,270,272
CHI,2022,5on5,82,136,208,147.83,199.38,0.43,1718,2227,156,206,239,239
CHI,2022,4on5,82,7,52,4.95,41.92,0.11,65,329,9,49,8,16
CHI,2022,5on4,82,33,7,35.16,9.16,0.79,307,72,49,14,18,10
ANA,2022,other,82,27,32,23.16,31.97,0.42,126,154,32,38,9,11
ANA,2022,all,82,206,335,210.44,320.76,0.4,2326,3208,194,330,339,292
ANA,2022,5on5,82,144,224,147.26,221.12,0.4,1802,2540,125,207,298,257
ANA,2022,4on5,82,0,73,4.38,60.7,0.07,67,448,4,75,14,16
ANA,2022,5on4,82,35,6,35.64,6.98,0.84,331,66,33,10,18,8
PIT,2022,other,82,36,35,37.14,33.58,0.53,146,130,51,45,7,11
PIT,2022,all,82,261,263,299.98,267.48,0.53,2818,2687,341,265,291,313
PIT,2022,5on5,82,168,173,204.07,178.71,0.53,2208,2057,213,157,255,266
PIT,2022,4on5,82,5,50,7.14,44.1,0.14,71,403,14,46,10,25
PIT,2022,5on4,82,52,5,51.63,11.08,0.82,393,97,63,17,19,11
WSH,2022,other,82,35,35,36.34,38.22,0.49,162,144,48,54,10,12
WSH,2022,all,82,253,261,259.16,267.89,0.49,2549,2549,274,269,286,304
WSH,2022,5on5,82,174,182,178.48,180.16,0.5,2010,2004,173,157,260,266
WSH,2022,4on5,82,2,37,5.78,43.8,0.12,67,330,7,52,7,21
WSH,2022,5on4,82,42,7,38.56,5.72,0.87,310,71,46,6,9,5
BOS,2022,other,82,39,19,38.12,34.14,0.53,156,188,52,42,14,14
BOS,2022,all,82,301,174,285.26,241.94,0.54,2704,2447,287,259,346,341
BOS,2022,5on5,82,200,114,188.6,162.14,0.54,2058,1861,167,166,290,297
BOS,2022,4on5,82,6,34,8.74,38.12,0.19,96,317,10,39,17,20
BOS,2022,5on4,82,56,7,49.8,7.54,0.87,394,81,58,12,25,10
FLA,2022,other,82,34,47,43.63,48.99,0.47,191,175,63,73,14,8
FLA,2022,all,82,288,272,314.97,283.45,0.53,3021,2604,356,324,361,345
FLA,2022,5on5,82,191,160,200.33,173.16,0.54,2258,1940,199,166,318,315
FLA,2022,4on5,82,4,58,7.36,54.04,0.12,95,410,8,78,12,13
FLA,2022,5on4,82,59,7,63.66,7.25,0.9,477,79,86,7,17,9
NSH,2022,other,82,33,33,38.8,37.75,0.51,185,143,48,47,4,8
