playerId,name,team,position,season,situation,games_played,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,icetime,I_F_xGoals,I_F_highDangerShots,I_F_highDangerGoals,onIce_xGoalsPercentage,gameScore,I_F_assists
8483039,Tristen Nielsen,COL,C,2025,all,4,0.0,1.0,0.0,1.0,3.0,1.0,9.0,25:13,0.19,0.0,0.0,0.58,1.22,1
8480817,K'Andre Miller,CAR,D,2025,all,63,6.0,12.0,14.0,32.0,105.0,102.0,88.0,1422:40,4.91,2.0,1.0,0.56,55.52,26
8480950,Ilya Lyubushkin,DAL,D,2025,all,45,1.0,4.0,3.0,8.0,30.0,20.0,60.0,717:45,1.41,1.0,0.0,0.4,1.55,7
8482157,Will Cuylle,NYR,L,2025,all,71,16.0,13.0,3.0,32.0,132.0,78.0,250.0,1217:31,19.71,24.0,8.0,0.42,31.44,16
8482149,Cole Perfetti,WPG,C,2025,all,57,10.0,11.0,7.0,28.0,120.0,58.0,44.0,878:11,16.8,18.0,5.0,0.56,32.59,18
8478434,Keegan Kolesar,VGK,R,2025,all,72,6.0,9.0,2.0,17.0,62.0,28.0,247.0,833:44,6.28,7.0,2.0,0.49,13.36,11
8477149,Scott Sabourin,TBL,R,2025,all,19,1.0,2.0,1.0,4.0,9.0,4.0,44.0,150:03,2.05,5.0,0.0,0.57,2.15,3
8479619,Michael Carcone,UTA,L,2025,all,69,14.0,8.0,5.0,27.0,131.0,74.0,130.0,862:05,14.08,16.0,5.0,0.59,42.15,13
8482762,Simon Edvinsson,DET,D,2025,all,61,9.0,7.0,6.0,22.0,75.0,62.0,80.0,1369:45,5.45,4.0,2.0,0.5,29.03,13
8477934,Leon Draisaitl,EDM,C,2025,all,65,35.0,40.0,22.0,97.0,186.0,76.0,34.0,1402:23,23.93,20.0,11.0,0.62,90.48,62
8479591,Michael Eyssimont,BOS,C,2025,all,52,8.0,5.0,5.0,18.0,100.0,37.0,51.0,564:00,7.96,5.0,1.0,0.51,21.4,10
8482116,Tim Sttzle,OTT,C,2025,all,71,32.0,22.0,19.0,73.0,172.0,75.0,109.0,1445:33,26.53,31.0,10.0,0.56,76.32,41
8483503,Owen Pickering,PIT,D,2025,all,4,0.0,0.0,0.0,0.0,1.0,4.0,1.0,48:23,0.02,0.0,0.0,0.42,-0.72,0
8482733,Logan Mailloux,STL,D,2025,all,55,3.0,3.0,3.0,9.0,60.0,52.0,72.0,873:55,2.75,1.0,0.0,0.43,6.1,6
8484185,Nick Lardis,CHI,L,2025,all,30,7.0,2.0,3.0,12.0,38.0,20.0,41.0,363:27,6.24,7.0,1.0,0.51,9.7,5
8476889,Radek Faksa,DAL,C,2025,all,56,2.0,9.0,6.0,17.0,33.0,19.0,75.0,654:37,4.76,5.0,2.0,0.34,11.41,15
8484164,Dalibor Dvorsky,STL,R,2025,all,59,10.0,2.0,5.0,17.0,73.0,32.0,73.0,848:26,8.62,9.0,3.0,0.52,11.38,7
8478416,Erik Cernak,TBL,D,2025,all,49,2.0,3.0,5.0,10.0,39.0,31.0,92.0,876:27,1.95,1.0,0.0,0.46,9.23,8
8479639,Dylan Coghlan,VGK,D,2025,all,3,0.0,0.0,0.0,0.0,2.0,2.0,4.0,45:10,0.1,0.0,0.0,0.48,0.45,0
8484958,Maxim Tsyplakov,NJD,R,2025,all,43,2.0,2.0,0.0,4.0,38.0,17.0,74.0,393:50,3.67,2.0,0.0,0.47,4.39,2
8474037,James van Riemsdyk,DET,L,2025,all,62,15.0,7.0,6.0,28.0,94.0,28.0,12.0,743:59,18.16,21.0,8.0,0.57,23.42,13
8485391,Anton Frondell,CHI,C,2025,all,1,0.0,1.0,0.0,1.0,2.0,2.0,1.0,15:43,0.11,0.0,0.0,0.16,-0.21,1
8477034,Jaycob Megna,VGK,D,2025,all,4,0.0,0.0,0.0,0.0,1.0,0.0,6.0,42:29,0.02,0.0,0.0,0.34,-1.02,0
